X-axis,Y-axis
-179.8744477,-188.0859876
-179.8559841,-189.1029025
-179.8371176,-190.1038475
-179.8172658,-191.1135657
-179.796494,-192.1199449
-179.7742805,-193.136211
-179.7507442,-194.140938
-179.7208716,-195.1491277
-179.6624605,-196.149726
-179.5737225,-197.1497191
-179.4566041,-198.1482091
-179.3129778,-199.1443377
-179.1446443,-200.1372855
-178.9533345,-201.1262705
-178.7407113,-202.1105474
-178.5083712,-203.0894063
-178.2578461,-204.062172
-177.9906052,-205.0282026
-177.7038859,-206.0006276
-177.4026942,-206.9652928
-177.0883552,-207.9216343
-176.7621364,-208.8691182
-176.4201081,-209.8212748
-176.0681369,-210.7637153
-175.7017876,-211.7101298
-175.3273169,-212.6460326
-174.9457875,-213.5710001
-174.5520647,-214.4989316
-174.146588,-215.4295724
-173.7362927,-216.3482949
-173.3154482,-217.2691537
-172.8912838,-218.1774742
-172.457704,-219.0873969
-172.0151091,-219.99869
-171.5711267,-220.8966305
-171.1191822,-221.7954524
-170.6596571,-222.6949344
-170.1929329,-223.5948553
-169.7270809,-224.4804752
-169.2549927,-225.3660953
-168.7770317,-226.2515051
-168.2935611,-227.1364939
-167.8049442,-228.0208512
-167.3115445,-228.9043663
-166.8137251,-229.7868285
-166.3118495,-230.6680274
-165.8062808,-231.5477523
-165.2973825,-232.4257925
-164.7855178,-233.3019375
-164.2710501,-234.1759766
-163.7543426,-235.0476993
-163.2357588,-235.9168948
-162.7156618,-236.7833527
-162.194415,-237.6468623
-161.6723817,-238.507213
-161.1499253,-239.3641941
-160.627409,-240.2175951
-160.0966399,-241.0811006
-159.5665658,-241.9404689
-159.037568,-242.7954789
-158.5100282,-243.6459094
-157.975866,-244.5051379
-157.4440031,-245.3591777
-156.91484,-246.2077967
-156.3804537,-247.0640965
-155.8496861,-247.9143194
-155.3147609,-248.7713568
-154.7844408,-249.6216201
-154.2511258,-250.4777712
-153.7155232,-251.3392078
-153.1862361,-252.1926224
-152.6560014,-253.0502853
-152.1256426,-253.9115209
-151.5960331,-254.7756219
-151.0754663,-255.6297207
-150.5572637,-256.4854766
-150.0353553,-257.3539184
-149.518201,-258.2220726
-149.0069482,-259.089058
-148.5028049,-259.953956
-148.0007051,-260.8269043
-147.5026309,-261.7062994
-147.0104962,-262.5928744
-146.5328658,-263.4826016
-146.0710734,-264.3730413
-145.6173117,-265.2782721
-145.1790297,-266.1824721
-144.7486828,-267.1002483
-144.3334458,-268.0153531
-143.9260384,-268.942888
-143.533361,-269.8662101
-143.1483986,-270.8008826
-142.7777766,-271.7298965
-142.4147464,-272.6692449
-142.0593801,-273.6186201
-141.717889,-274.560504
-141.383928,-275.5114713
-141.0575654,-276.4712304
-140.7445949,-277.4218108
-140.4390791,-278.3803091
-140.1410826,-279.3464493
-139.8506698,-280.3199555
-139.5730719,-281.2823298
-139.3029026,-282.2512729
-139.0402229,-283.2265241
-138.7850939,-284.2078223
-138.5375765,-285.1949067
-138.3021857,-286.1687383
-138.0742383,-287.1476421
-137.8537921,-288.1313718
-137.6409044,-289.119681
-137.4356331,-290.112323
-137.2380356,-291.1090517
-137.0481696,-292.1096205
-136.8695204,-293.0944397
-136.6984179,-294.0824834
-136.5349166,-295.0735188
-136.3790706,-296.0673136
-136.2309345,-297.0636353
-136.0905626,-298.0622513
-135.9580091,-299.0629293
-135.8333285,-300.0654366
-135.716575,-301.0695409
-135.6078031,-302.0750097
-135.5070672,-303.0816104
-135.4144214,-304.0891106
-135.3299203,-305.0972778
-135.2536181,-306.1058795
-135.1855692,-307.1146832
-135.1258279,-308.1234565
-135.0744486,-309.1319669
-135.0314857,-310.1399818
-134.9969935,-311.1472688
-134.9710263,-312.1535955
-134.9536385,-313.1587292
-134.9448844,-314.1624376
-134.9448185,-315.1644882
-134.953495,-316.1646484
-134.9713991,-317.1822324
-134.9985061,-318.1973631
-135.0348734,-319.209794
-135.0805587,-320.2192789
-135.1356195,-321.2255711
-135.2001136,-322.2284243
-135.2740984,-323.227592
-135.3593321,-324.2419269
-135.4545459,-325.2519162
